MAT;RAZONSOCIAL;DIRECCION;EST;PROPIETARIO;TELEFONO1
114008;BARRILILLOS CAFE BAR                                             ;CR 9  9 33 LC 1                                                                                                                    ;MA;BARRILLOS CAFE BAR S.A.S.                                 ;3114598014
114009;RIVERMARK DISTRIBUCIONES                                         ;MZ  45  CA  15 AP 1                                                                                                                ;MA;RIVERMARK DISTRIBUCIONES S.A.S                            ;5882076
114010;N & G ASESORA - COMERCIALIZADORA                                 ;CL  9C  19A 24                                                                                                                     ;MA;N & G ASESORA - COMERCIALIZADORA SAS                      ;3145012033
114012;SOUVENIR VALLENATO                                               ;CL 1B  24B 30 MZ D CA 14 URB VILLA LIGIA 1                                                                                         ;MA;DAZA SUAREZ FRANKLIN JAVIER                               ;3168321626
114014;ALFREDO LICORES                                                  ;CR 20 22B 50 PISO 1 APT 101 BRR PRIMERO DE MAYO                                                                                    ;MA;BANDERA OSPINO IRINA CRISTINA                             ;3156992322
114020;SERVICIOS TIERRA PROMETIDA                                       ;CR 11   4 12 BRR MUNICH                                                                                                            ;MC;SALINAS ARZUAGA CLAUDIA LUCIA                             ;5798792
114023;ORTHOMEDICS DEL CESAR                                            ;CR  19  14 37  P 1 AP 101                                                                                                          ;MA;ORTHOMEDICS DEL CESAR S.A.S.                              ;5803535
114025;BILLARES EL REPOSO J.G.                                          ;CL 18A2  36BIS 40                                                                                                                  ;MA;GIRALDO PALACIO JOHAN ESNEIDER                            ;3135555759
114027;VIDRIOS CENTER                                                   ;CR 11  18 31 BRR GAITAN                                                                                                            ;MA;VELEZ PALMA JINA PAOLA                                    ;3182504611
114028;DROGUERIA SUPERDESCUENTOS NTH # 4                                ;CL 16 N 20 04 BRR LA POPA                                                                                                          ;MC;TORRES HORTUA NYDIS ESTHER                                ;5848433
114032;SION CENTRO DE BIENES RAICES Y SERVICIOS INMOBILIARIOS           ;CL  34  5C 71                                                                                                                      ;MA;SION CENTRO DE BIENES RAICES Y SERVICIOS INMOBILIARIOS SAS;5835421
114034;CONSULTORIO UROLOGICO DR ORLANDO RUIZ                            ;CL 13C CASA 2  17 105 BRR ALFONSO LOPEZ                                                                                            ;MA;RUIZ JIMENEZ ORLANDO                                      ;5806193
114039;CORINA ACCESORIOS                                                ;CR 9 15A 35 CENTRO                                                                                                                 ;MC;DE ARMAS DAZA ANA CAROLINA                                ;3002065071
114041;VARIEDADES NICOLL DAYANA                                         ;CR 46  5H 32 APT 01  BRR LA NEVADA                                                                                                 ;MA;TAPIERO MU—OZ JHON JAIRO                                  ;3017728122
114043;CONFECCIONES MARDEN GIL                                          ;CL 13  14 44                                                                                                                       ;MA;GIL MENDOZA MARDEN ENRIQUE                                ;3188889907
114046;CENTRO DE ESTIMULACION, REHABILITACION Y APRENDIZAJE LUZ DE ESPER;CL 9 8 66 CENTRO                                                                                                                   ;MA;CENTRO DE ESTIMULACION, REHABILITACION Y APRENDIZAJE LUZ D;3016222182
114048;BASIL MARKET VALLEDUPAR                                          ;DIAGONAL 10 Nro. 6N - 15 AV. HURTADO CC GUATAPURI LC 300                                                                           ;MA;RAAD GARCIA GLORIA INES                                   ;3145811433
114054;HORNAMENTACION Y VIDRIOS KEVIAP N. 2 H.S.                        ;CR 14  4 71 BRR COREA                                                                                                              ;MA;HERNANDEZ SILVA GLORIA JANETH                             ;3157076769
114056;MERCAMAXX                                                        ;BRR LA GRANJA MERCADO NUEVO COLMENA  A32 A31A                                                                                      ;MA;CARRILLO GARCIA CARMEN SOFIA                              ;5806655
114058;QUESERA LUCHO THOMAS                                             ;CR 18D  22A 06 APT 03 BRR 1 DE MAYO                                                                                                ;MA;THOMAS RAMOS LUIS EDUARDO                                 ;3148723059
114060;DESECHABLES EL PUNTO BLANCO                                      ;CL 18  6 20 CENTRO                                                                                                                 ;MA;ARZUAGA DUARTE JENIS                                      ;3173564226
114062;CONSTRUCTORES Y ACABADOS                                         ;CR  19  17 50                                                                                                                      ;MA;CONSTRUCTORES Y ACABADOS S.A.S.                           ;3116576800
114063;TODOMOTOS EL PASO                                                ;CL  3  2 47 ESQ                                                                                                                    ;MA;TODOMOTOS LTDA                                            ;3107067602
114065;PROVISIONES LA CHIQUI                                            ;CR 5B 24A  15 P1 AP 3 BRR VILLA CLARA                                                                                              ;MA;PINO ANGARITA BELQUIS KARINA                              ;3106537707
114066;DEPOSITO LA AVENIDA ASTREA                                       ;CL 7  4 36 CENTRO                                                                                                                  ;MA;SALAZAR RAMIREZ CARLOS DAVID                              ;3137261818
114071;EBANISTERIA KATLIN                                               ;CL 6D  19 36 BRR LOS MUSICOS                                                                                                       ;MA;JIMENEZ AMAYA LUIS ALFREDO                                ;3006816489
114072;ASOCIACION EMPRENDEDORES LA PALMITA                              ;CL  6  1 22 CORREG. LA PALMITA                                                                                                     ;MA;ASOCIACION EMPRENDEDORES LA PALMITA SAS                   ;3116999465
114074;SUMINISTROS Y SERVICIOS EMANUEL                                  ;CL 6  49 72                                                                                                                        ;MA;BAYONA TARAZONA ANAYIBE                                   ;3103535650
114075;PARRILLADA VIVAS & MAS                                           ;CL 9   15 15 BRR SAN JOAQUIN                                                                                                       ;MA;VIVAS GARCIA CARLOS ERNESTO                               ;5838485
114078;GESSAM                                                           ;CR  6  45 34                                                                                                                       ;MA;GESTION DE SOLUCIONES SANITARIAS Y AMBIENTALES SAS        ;5848135
114081;CENTRO DE REHABILITACION INTEGRAL CENDAL                         ;CR 11A  13B 27  BRR OBRERO                                                                                                         ;MA;CENTRO DE REHABILITACION INTEGRAL CENDAL SAS              ;3002049440
114082;MONTE ROYAL                                                      ;CR  23  11B 47                                                                                                                     ;MA;MONTE ROYAL S.A.S.                                        ;5700588
114083;TERMOCAR VALLEDUPAR                                              ;CL 25  25 67 BRR SIETE DE AGOSTO                                                                                                   ;MC;SUAREZ ARAUJO JOHNATAN                                    ;3008888511
114085;VIP BEAUTY CENTER                                                ;VILLA LIGIA 2 LC 1 BRR VILLA LIGIA                                                                                                 ;MA;ARDILA RAMIREZ KAROLL SOFIA                               ;3176685112
114088;LOGISTICA MEDICA INTEGRAL LOGIMEDICA                             ;CARRERA 14A NO. 7B - 09                                                                                                            ;MA;"LOGISTICA MEDICA INTEGRAL ""LOGIMEDICA"" S.A.S.             ";5840060
114090;DISTRIBUCIONES Y MARKETING                                       ;CL 28  4G 176  AP  1  BRR VILLA DEL ROSARIO                                                                                        ;MA;BUSTAMANTE DE LA CRUZ NIBALDO RAUL                        ;3104926992
114092;METALICAS ROBERT                                                 ;CL 20  11 84 BRR LA GRANJA                                                                                                         ;MA;AVILA ROBLES ROBERTO CARLOS                               ;3014475720
114094;CONSTRUCTORA MAZENETT                                            ;CR 29  55 05 BRR DON CARMELO                                                                                                       ;MA;MAZENETT ALVARO MARCELINO                                 ;3106356175
114095; CASINO LA FLORIDA # 2                                           ;CL 21  18C 10 BRR GUATAPURI                                                                                                        ;MA;DUARTE DURAN ELIDA                                        ;3215399571
114097;SUPER DROGAS LA POPA                                             ;CR  31  16  30  LC  7  URB  LUIS CARLOS GALAN                                                                                      ;MA;RAMOS SALAMANCA NUBIA STELLA                              ;3006689842
114099;PARTES ELECTRICAS Y MAS                                          ;CL 11  19C  11 100 BRR LA GRANJA                                                                                                   ;MC;TOVAR SANCHEZ LUZ ENITH                                   ;3126392399
114102;SOCIO DIESEL VALLEDUPAR                                          ;CL 19B  11 77 BRR LA GRANJA                                                                                                        ;MA;ROMERO MONTERO REINALDO UBIL                              ;3116781163
114103;DISCOTECA MAMA JUANA                                             ;CR 19  9 52 BRR SAN JOAQUIN                                                                                                        ;MA;ARCINIEGAS PEDRO                                          ;3156727864
114105;CARPINTERIA EL ALGARROBILLO                                      ;CR 3  3A 25 BRR 19 DE MARZO                                                                                                        ;MA;CAMARGO ACOSTA JESUS RAMON                                ;3015540883
114109;ACMM SOLUCIONES GENERALES                                        ;MANZANA F CASA 12B                                                                                                                 ;MA;ACMM SOLUCIONES GENERALES S.A.S                           ;5882589
114112;PERFECT NUTRITION BODY'S                                         ;CL 10  16 140 BRR SAN JOAQUIN                                                                                                      ;MA;MEJIA OROZCO JAIRO FERNANDO                               ;3101337244
114114;ORTOPEDIA INTEGRAR ISA                                           ;CL 14 18 47 AP 01                                                                                                                  ;MA;ORTOPEDIA INTEGRAR ISA S.A.S                              ;5702996
114117;TECNOINTI                                                        ;CR 6  2 141 BRR VENECIA                                                                                                            ;MA;ARZUAGA ESCOBAR HERNAN DE JESUS                           ;3002249153
114118;LA POLA DRINK                                                    ;CL 20A  18C 67 P1 LOC 01  BRR GUATAPURI                                                                                            ;MC;CAMACHO SANCHEZ WILSON ARIEL                              ;3177267690
114120;TIENDA VILLA LAURA                                               ;CL 54A  32 07                                                                                                                      ;MA;CAMACHO VITERBO                                           ;5845263
114121;AGUA BRISAS ANTIOQUE—A N? 2                                      ;CL 4  3 96                                                                                                                         ;MA;GALLEGO CASTA—O FABIO NELSON                              ;3135083364
114124;MAX POLLO C.D.                                                   ;TV 23  18D 27                                                                                                                      ;MC;SEQUEA OYAGA CARLOS ENRIQUE                               ;3143588849
114126;SERVITRANSCOP                                                    ;CR  28  8 62                                                                                                                       ;MA;SERVITRANSCOP S.A.S. EN LIQUIDACION                       ;5255046
114129;SAMEJ COBRANZAS Y ASESORIAS JURIDICAS                            ;CL  13A  4A 4                                                                                                                      ;MA;SAMEJ COBRANZAS Y ASESORIAS JURIDICAS SAS                 ;5842844
114132;LAZA                                                             ;CL  29  6 47                                                                                                                       ;MA;LAZA S.A.S.                                               ;3135255929
114133;CONSTRUCTORA ALR                                                 ;CR  13  6B 68                                                                                                                      ;MA;CONSTRUCTORA ALR S.A.S EN LIQUIDACION                     ;5734132
114135;CASA CAMPO LA LOCURA                                             ;CR 4  6 22 CORR PALMITA BRR FRANCISCO GOMEZ                                                                                        ;MA;ROYERO AVILA LUZ CLARENA                                  ;3135997168
114137;APARTAMENTO MELANY                                               ;CL 3  7 4 APT 1 BRR CHIQUINQUIRA                                                                                                   ;MA;ROYERO LOBO JUAN DAVID                                    ;3164882080
114140;ASADERO EL NOVILLO DE CHIRIGUANA                                 ;CL 3  4 50 APT 1 BRR CHIQUINQUIRA                                                                                                  ;MA;PEREZ GUTIERREZ LIZBEYRA JOHANA                           ;3152601142
114141;TELE IMAGENES DANNY                                              ;CR  21  12 60                                                                                                                      ;MA;TELEIMAGENES DANNY S.A.S.                                 ;3135122564
114143;TRANSPORTES SUACOR                                               ;CL  18  CR  14 69 AP 1                                                                                                             ;MA;TRANSPORTES SUACOR S.A.S.                                 ;3125822881
114145;B.A  BETO ARAUJO                                                 ;CL 12  12 28 BRR SAN JOAQUIN                                                                                                       ;MA;ARAUJO QUINTERO ANDRES ALBERTO                            ;3012063290
114147;CERO EXTRES DE CHIRIGUANA                                        ;CRA 7  8 36 CORRG RINCON HONDO                                                                                                     ;MA;MACHADO CAUSADO DAMIRIS ANTONIA                           ;3216709981
114148;DISTRIBUCIONES FABEMA                                            ;CL 10  20 55 BRR EL PARAISO                                                                                                        ;MA;OSPINO RONDON GRELYS ERIKA YOJAIRA                        ;3114109868
114150;ASADERO BROASTERD CARBON                                         ;CR 18  18 84 BRR LOS ANGELES                                                                                                       ;MA;PE—A YUNIZ INGRID TATIANA                                 ;3112346956
114152;RESIDENCIA EL ROMANCE                                            ;CR  5A  1A 05 BRR VILLA FLORES                                                                                                     ;MA;HERNANDEZ MADERA RAFAEL SEGUNDO                           ;3215291976
114154;PROVISIONES LOS PAISAS                                           ;CR 5  7 05                                                                                                                         ;MC;GOMEZ ZULUAGA SILVIA LILIANA                              ;3106590787
114156;VARIEDADES Y LUJOS LV                                            ;CR 4 NO. 10-23 BARRIO CINCO DE MARZO                                                                                               ;MA;VELASQUEZ ECHAVARRIA LIGIA                                ;3128849187
114158;VARIEDADES MAREIGUA                                              ;CL 58  24  149 URB MAREIGUA                                                                                                        ;MA;ROJAS CA—IZARES WILMER YAIR                               ;3215007180
114160;COMERCIAL LUNA E.U                                               ;MZ 23 CA 28 BRR POPULANDIA                                                                                                         ;MA;SABATA MEJIA HERMES ELIAS                                 ;3043294349
114162;CIUDADELA 450 A—OS                                               ;MZ 40 CA 3 LOC 3  CIUDADELA 450 A?OS                                                                                               ;MA;MARTINEZ DAZA JORGE ARMANDO                               ;3003239166
114164;OFICINA DE CAMBIO NEFER ARIZA                                    ;CL  16   7 56                                                                                                                      ;MA;OFICINA DE CAMBIO NEFER ARIZA S.A.S.                      ;5742755
114166;REFRESQUERIA PATILLAL                                            ;CL 8B  5 118 BRR PESCAITO                                                                                                          ;MA;ANGULO MEJIA NOHELIA                                      ;3145916788
114168;RICKYSIMO COMIDAS RAPIDAS                                        ;CR 19   18 100 LC 01                                                                                                               ;MA;OSORIO ORTEGA JORGE LUIS                                  ;5711636
114174;DISTRIBUIDORA LA VICTORIA Q R                                    ;CR 8  3 45 BRR 20 DE JULIO                                                                                                         ;MA;QUINTERO RANGEL ALBEIRO                                   ;3135160977
114176;COMIDAS RAPIDAS TROPEZON                                         ;CL 6A 19 45 BRR LOS MUSICOS                                                                                                        ;MC;ARZUAGA ESCALONA ANA MARIA                                ;3015366616
114177;PANADERIA ZAPATOCA VALLEDUPAR                                    ;CR 20  30 43                                                                                                                       ;MA;RUBIO ROLON HUGO                                          ;3176461792
114179;EL BODEGAZO DEL T.L.C. C.A.Z.                                    ;CR  18  17 62 LC 2 CENTRO                                                                                                          ;MA;DUQUE GIRALDO ALIVER DE JESUS                             ;5639231
114181;DISTRIBUCIONES L'MANA                                            ;CR 16A 11 36 CASA 06                                                                                                               ;MC;PRADO MARQUEZ YERLIS PAOLA                                ;3212571894
114184;ALARMATODO MC                                                    ;CL 29  4D 14  BRR VILLA DEL ROSARIO                                                                                                ;MA;ALVARADO ESPRIELLA NELCYS MARGOTH                         ;3043764854
114186;PUNTO SABROSO VALLEDUPAR                                         ;CR 7A  44 156  LC 133 A BRR VALLE MESA                                                                                             ;MA;ARIAS OYOLA ELENA MARGARITA                               ;3137507862
114188;INVERSIONES GNECCOS                                              ;CR  7A  20D 36                                                                                                                     ;MC;INVERSIONES GNECCOS SAS                                   ;5711511
114190;MODAS Y ESTILO VIVIANA                                           ;CR 32  8 60 BRR DIVINO NI—O                                                                                                        ;MA;ALVAREZ MENDEZ YUDIS ESTHER                               ;3158310985
114191;BLACKBERRY WORLD                                                 ;CL 6 6 51 BRR CENTRO                                                                                                               ;MA;GRANADOS MANOSALVA OSNAIDER                               ;3176604636
114193;VARIDADES MARLE B                                                ;CR 41  CA 1B 20 BRR LA ROCA                                                                                                        ;MA;BUELVAS PARRA MARLENE ESTER                               ;5835683
114195;CALZADO LA OTRA GALAXIA 2.A.H.                                   ;CL 17B  4 103  EL CARMEN                                                                                                           ;MA;HERRERA GUARIN AYDA ESTHER                                ;3155285628
114197;PRODUCTOS SPLENDEX                                               ;MZ 12 CA 17                                                                                                                        ;;;
114199;MADERAS CACIQUE UPAR                                             ;DG  21  24A 58                                                                                                                     ;MA;MADERAS CACIQUE UPAR LTDA                                 ;3043832571
114201;SOLUCIONES CREDITICIAS DEL CESAR                                 ;CL 14  9 69                                                                                                                        ;MC;MATRONES RINCO GLORIA MILENA                              ;5806903
114204;CARNES LA UNION G.G.                                             ;CR 17A  24 3 LOC 14                                                                                                                ;MA;GELVEZ GOMEZ ADRIANA MARIA                                ;3002494195
114207;INVERSIONES ITIEL TEARMAC                                        ;CL  4  4 65                                                                                                                        ;MA;INVERSIONES ITIEL TEARMAC SAS                             ;3114123109
114209;GALLERA LA LUNA                                                  ;CR  10 5 29 CORR AGUAS BLANCAS                                                                                                     ;MA;MARQUEZ JIMENEZ JOSE ALFREDO                              ;3106708532
114211;MAYUYIS FRUIT                                                    ;CL 17A  34 35                                                                                                                      ;MA;MAESTRE CARRILLO YULIETH PAOLA                            ;5880848
114213;XANADU                                                           ;CR 9  16A 10 LC 3                                                                                                                  ;MC;HAIMOUR FARES MARIAM                                      ;3008342538
114215;LACTEOS LA HOGARE—A                                              ;CL  6D  24 68                                                                                                                      ;MC;LACTEOS LA HOGARE—A S.A.S                                 ;5830109
114217;MARANATA HOTEL                                                   ;CR  11  19 76 LC 02                                                                                                                ;MA;MARANATA HOTEL S.A.S                                      ;3187755202
114219;DIOMAR GARCIA EVENTOS S A S SEDE VALLEDUPAR                      ;CL 12  5 45                                                                                                                        ;MA;DIOMAR GARCIA EVENTOS S.A.S.                              ;5760404
114221;ESTADERO LOS PINGUINOS                                           ;CL 4   CR 5 25 CORREG LA AURORA                                                                                                    ;MA;VENERA RUDAS VENIS                                        ;3112769779
114223;CARNES, QUESOS JHON ALEX                                         ;CL 30  18E 45 BRR 1 DE MAYO                                                                                                        ;MA;CALDERON HINOJOSA HECTOR FABIO                            ;3106017086
114225;PUNTO FRIO EL CH. CH.                                            ;DG 7  6 15  CORR ATANQUEZ                                                                                                          ;MA;ESTRADA MONTERO YESITH ENRIQUE                            ;3207965994
114226;SUAREZ DISTRIBUCIONES                                            ;CR 23  4 01  CALLEJAS                                                                                                              ;MA;SUAREZ ARIZA RAFAEL ALBERTO                               ;5898240
114228;KACRIPLAY.NET                                                    ;MZ 12 CA 20 BRR BELLO HORIZONTE                                                                                                    ;MA;BELE—O PEREZ EDWUIN                                       ;3138812258
114230;LA LOCURA PAISA DE MANAURE                                       ;CR 8  2F 65                                                                                                                        ;MA;SALAZAR CASTA—O VIVIANA ANDREA                            ;3175750022
114232;VARIEDADES STEFANYA                                              ;CL 8  4 72 APT 1  CENTRO                                                                                                           ;MA;JARAMILLO ARANGO RUTH LUCENA                              ;3147672922
114234;SERFICONSTRUC                                                    ;CR 11  18 61 BRR GAITAN                                                                                                            ;MA;OSPINO CALIER VICTOR ASAEL                                ;5744815
114237;HABILIDAD MENTAL                                                 ;CARRERA 19 NO 5-245 LOCALES 2 Y 3                                                                                                  ;MA;COY CRUZ LILIAN ANDREA                                    ;3207589512
114239;SUPER ACCESORIOS L.C.                                            ;CR 16 21                                                                                                                           ;MA;LEMUS CERVANTES ESMERALDA                                 ;3002651158
114241;VARIEDADES LAS OCA—ERAS                                          ;CL 3 E1  44 71 BRR VILLA YANETH                                                                                                    ;MA;GARCIA TELLEZ MARIA EUGENIA                               ;3168854467
114243;ARENA DE RIO SWIMWEAR                                            ;CR  11  13C 48  BRR OBRERO                                                                                                         ;MA;ARENA DE RIO SWIMWEAR S.A.S                               ;5709165
114244;MERCADO CAMPESINO SURTIFRUVER SAN JOAQUIN                        ;CR  13  11 41 SAN JOAQUIN                                                                                                          ;MA;MERCADO CAMPESINO SURTIFRUVER DE VALLEDUPAR               ;3183359788
114247;INVERSIONES DAKAR K.A.                                           ;CL 13  16 59  BRR SAN MARTIN                                                                                                       ;MA;ANDRADES PERTUZ KAREN MARGARITA                           ;3015129633
114250;CARNICERIA EL CA—A                                               ;CL 11 CR 10 8 CENTRO                                                                                                               ;MA;MARTINEZ SALAZAR CASTULO JOSE                             ;3106869710
114253;VARIEDADES CA—A # 2                                              ;CR  5 NO. 10-12  CENTRO                                                                                                            ;MA;MARTINEZ HINCAPIE MARIA CONCEPCION                        ;3145394640
114254;CLINICA ALTA COMPLEJIDAD DEL CARIBE                              ;CL  14  17 45                                                                                                                      ;MA;CLINICA ALTA COMPLEJIDAD DEL CARIBE S.A.S                 ;5705353
114257;CICLO JUANCHO M.                                                 ;CL  18  17 11                                                                                                                      ;MA;MERINO FLOREZ JUAN ELOY                                   ;5779313
114259;RESPUESTOS JORVI T.D.                                            ;CL 12  17 45                                                                                                                       ;MA;TAFUR DIAZ JORGE ENRIQUE                                  ;3114025539
114261;HILARRY.COM                                                      ;CR 14B  10 80                                                                                                                      ;MA;CASTRO GARCIA AURA ESTELA                                 ;3123049922
114265;SUNDANCE MINING                                                  ;CL  19E  18C 112                                                                                                                   ;MA;SUNDANCE MINING CI SAS                                    ;5700596
114267;COORSERPARK VALLEDUPAR                                           ;CL 16  6 23 CENTRO                                                                                                                 ;MA;COORSERPARK LTDA                                          ;3133338067
114268;M&S MANTENIMIENTO Y SUMINISTROS GENERALES                        ;CR 4 ESTE 10 24                                                                                                                    ;MA;M&S MANTENIMIENTO Y SUMINISTROS GENERALES SAS             ;3205604996
114270;UPARCLEAN                                                        ;CL  13  13 75 BLOQUE C  AP 01                                                                                                      ;MA;UPARCLEAN LTDA                                            ;3012210938
114272;MAKROFRUVER  DEL NORTE                                           ;CL 3 19 86 BRR VILLALBA                                                                                                            ;MA;NI—O DEYANIRA                                             ;3144522790
114274;KIOSKO EL ALMENDRO J.H.                                          ;CR 17A CL 28                                                                                                                       ;MA;VARGAS MEZA LUIS ALBERTO                                  ;3215196093
114276;RESTAURANTE Y PANADERIA CENTRAL                                  ;CL 4  11 01  BRR DIVINO NI—O                                                                                                       ;MC;SARMIENTO ACACIO SARA MYREYA                              ;3126247568
114278;TALLER DEL MAESTRO ALBERTO                                       ;CR 17A  23 8 BRR ALTO PRADO                                                                                                        ;MA;MEZA MERCADO WALBERTO                                     ;3106768335
114279;DIMONSALVO                                                       ;CL 4  1A 22 CGTO SALOA                                                                                                             ;MA;NORIEGA RIOS KAREN VIVIANA                                ;3205444726
114281;DISTRIEDUAR - AUTOS                                              ;CR 18  22 41                                                                                                                       ;MC;MARTINEZ ROMERO EDUAR RONAL                               ;3116741396
114283;CREACIONES Y CONFECCIONES EMILCE                                 ;CR 13  2 05  BRR PALMIRA                                                                                                           ;MA;BOHORQUEZ SALCEDO EMILCE ISABEL                           ;3205332785
114285;TIENDA LOS MANGOS J.F.A.                                         ;CL SEC 1 MZ 36 1 BRR EFRAIN QUINTERO                                                                                               ;MA;FONTALVO ARRIETA JUDITH ESTHER                            ;3114018753
114288;MULTIVIDRIOS DEL CESAR                                           ;DG 21  20 63                                                                                                                       ;MA;OROZCO DE LA ROSA LUDYS MARIA                             ;3004401647
114289;C.I VARIEDADES DEL CAMPO BUENAVISTA                              ;CL  9  CR  9  60                                                                                                                   ;MA;C.I. VARIEDADES DEL CAMPO BUENAVISTA SAS EN LIQUIDACION   ;3017270400
114291;REVISTA LA REGIONAL                                              ;CR 19C1  7 05 APTO 1 BRR LA ESPERANZA                                                                                              ;MA;BOTERO PINTO SANDRA LILIANA                               ;3016442516
114292;CULTIVOS EL SANY                                                 ;CL 35  20 48  BRR SAN MARTIN                                                                                                       ;MA;SANABRIA VEGA JAVIER IVAN                                 ;3017783672
114294;HELADERIA SONRISAS                                               ;DIG 16  17 69                                                                                                                      ;MA;VELANDIA GONZALEZ CLAUDIA                                 ;3173804000
114296;MAQUIPLAYER VALLEDUPAR                                           ;CL 1  19 63 BRR LAS MARIAS                                                                                                         ;MA;MAQUIPLAYER SAS                                           ;5839423
114297;AGROREPUESTOS Y SERVICIOS TECNICOS                               ;SECTOR 1 MZ 7  32 BRR ALAMOS II                                                                                                    ;MA;SAAVEDRA REYES MARIA NURY                                 ;5820930
114299;COMUNICACIONES MANOTAS                                           ;CL 4  4 65                                                                                                                         ;MA;MANOTAS CALDERON MARISOL                                  ;5798119
114303;DISTRIBUIDORA JMCO                                               ;CR  18A  20 03                                                                                                                     ;MC;OROZCO MENDEZ ANA PATRICIA                                ;3107146949
114304;DUARQUINT BAS10 VALLEDUPAR                                       ;AV. LA POPA VIA LA MESA KM. 1                                                                                                      ;MC;COMERCIALIZADORA DUARQUINT LTDA                           ;3175024103
114305;BODEGA MAYORISTA ESTRENO VALLEDUPAR                              ;CL  16C  6 74                                                                                                                      ;MA;ALIANZA ESTRENO S.A.S.                                    ;5708552
114307;EVENTOS BACOOK Y ALGO MAS                                        ;CL 8  4 3  BRR OVELIO JI8MENEZ                                                                                                     ;MA;PINEDA RIOS TILCIA                                        ;5769994
114309;PROVISIONES EL TRIUNFO                                           ;CR 4 30B 2  BRR VILLA DEL ROSARIO                                                                                                  ;MA;GOMEZ OROZCO HUGO ALCIDES                                 ;3145495576
114311;VIDRIOS BERIZA                                                   ;CR 9  18 06 LOCAL 1 BRR GAITAN                                                                                                     ;MA;IZAGUIRRE TROYA LEDYS MARGOTH                             ;3126336846
114313;LAS LOCURAS DE BOSCONIA TODO A 5000                              ;CL 18  3A 19 BRR EL CARMEN                                                                                                         ;MA;GONZALEZ RAMIREZ NORBEY DE JESUS                          ;3113571288
114315;GALLINAS SANTANDER                                               ;BRR 15 DE MAYO LOMA CALENTURA                                                                                                      ;MA;NAVAS GARCIA CARMEN FELISA                                ;3166823830
114317;LA CASA DEL HOGAR A.B.                                           ;CL 18  18A 10 ENT 1 P1 LOC 2                                                                                                       ;MC;BARBOSA CRIADO ALIRIO                                     ;3218411140
114320;DISTRIBUCIONES MASS                                              ;CL 7A  38 34 BRR DIVINO NI—O                                                                                                       ;MA;OCAMPO LOPEZ JOHN DAIRON                                  ;3145690310
114322;PANADERIA Y DELICATESES MEGAPAN                                  ;DG 21 TRV 28 40                                                                                                                    ;MA;GOMEZ DE ANGEL GIOVANIS DE JESUS                          ;5701752
114324;DROGUERIA Y VARIEDADES PANAMA                                    ;CL 39  6A1  37                                                                                                                     ;MA;MOJICA ROCA MAURO RAFAEL                                  ;3104050558
114325;EFECTY BECERRIL CALLE 9                                          ;CL 9  5 94 CENTRO                                                                                                                  ;MC;AMAYA ARIAS SARA ELENA                                    ;5768082
114326;VIOLETA INTIMA                                                   ;LOC 6  CC LOS ANGELES MALL                                                                                                         ;MC;VIERA ARRIETA YOHANA ESTHER                               ;3174277415
114327;VIOLETA FANTASY                                                  ;LOCAL 64 CC LOS ANGELES MALLS                                                                                                      ;MA;VIERA ARRIETA YOHANA ESTHER                               ;5806823
114329;CACHARRERIA Y VARIEDADES EMMANUEL P.H.                           ;CR 16  20 61                                                                                                                       ;MC;PEREZ HERRERA YOLMER                                      ;3007599425
114331;TIENDA VILLA BARAL                                               ;CR 4  33 05 LC 1 BRR LOS MAYALES                                                                                                   ;MA;ZULETA RADILLO CARLOS RAMIRO                              ;5823570
114334;DISTRIBUCIONES J.T.                                              ;MZ J CA 20 URBANI LA CEIBA                                                                                                         ;MA;TERNERA GUTIERREZ JAVIER ENRIQUE                          ;3005702874
114336;SUMINISTROS Y SERVICIOS INTEGRALES DEL CESAR                     ;CR  6  CL  5 60                                                                                                                    ;MA;SUMINISTROS Y SERVICIOS INTEGRALES DEL CESAR S.A.S.       ;3116711032
114339;CACHARRERIA 4 ESQUINAS B.D.                                      ;CR  16  CL 20  06                                                                                                                  ;MC;BOTERO DUQUE JAIRO ALONSO                                 ;3137976954
114340;ESOO                                                             ;CR  17A  15 132 LC 01                                                                                                              ;MC;ESOO S.A.S.                                               ;3182916582
114342;DISTRIMAX J.M.                                                   ;CL 22 CR 22 51                                                                                                                     ;MA;MOYA QUIROZ MARIA EVILA                                   ;3116798683
114344;PUNTO SERVICIO EFECTY LA JAGUA                                   ;DG  1 7 46 CARRETERA PRINCIPAL                                                                                                     ;MA;DUQUE SERNA JAVIER                                        ;5769098
114345;FRANGARC INDUSTRIAS                                              ;CL  31  16A 27                                                                                                                     ;;;
114347;"GESTION INTEGRAL ACTIVA ""GIA""                                    ";CL  19E  18C 95                                                                                                                    ;MA;"GESTION INTEGRAL ACTIVA ""GIA""S.A.S.                       ";3215624516
114349;SABRINA BOUTIQUE                                                 ;CR 9  13B 18                                                                                                                       ;MC;JULIO ARDILA ANA YOLIMA                                   ;5804896
